name,code,sectors,products
네오티스,085910,자동차 신품 부품 제조업,"마이크로비트,샤프트"
네이처셀,007390,기초 의약물질 및 생물학적 제제 제조업,닥터쥬크르
녹십자셀,031390,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제
뉴보텍,060260,플라스틱제품 제조업,"고강성 PVC DC, HDPE 등"
뉴인텍,012340,전자부품 제조업,콘덴서
뉴프렉스,085670,전자부품 제조업,연성인쇄회로기판
대봉엘에스,078140,의약품 제조업,"원료의약품,화장품원료"
대유에이피,290120,자동차 신품 부품 제조업,자동차 스티어링휠
대주산업,003310,동물용 사료 및 조제식품 제조업,배합사료
대한약품,023910,의약품 제조업,수액제
동구바이오제약,006620,의약품 제조업,"피부, 비뇨기과 완제의약품"
동방선기,099410,선박 및 보트 건조업,선박용 배관 등
디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판)
디엔에이링크,127120,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)"
디엔에프,092070,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
디오,039840,의료용 기기 제조업,자동포장기계
디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스
디케이앤디,263020,플라스틱제품 제조업,합성피혁 및 부직포
라이트론,069540,통신 및 방송 장비 제조업,"광가입자용 광송수신모듈, CATV/이동통신용 광부품"
루미마이크로,082800,반도체 제조업,백색발광다이오드(LED)
룽투코리아,060240,소프트웨어 개발 및 공급업,"모바일게임(열혈강호,검과마법)"
링크제니시스,219420,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)"
마이크로텍,227950,특수 목적용 기계 제조업,기업인수 및 합병
매일홀딩스,005990,낙농제품 및 식용빙과류 제조업,유제품
메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발"
메이슨캐피탈,021880,기타 금융업,리스수입
메탈라이프,327260,전자부품 제조업,"광통신, RF통신용 패키지"
모비스,250060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업인수합병
모트렉스,118990,자동차 신품 부품 제조업,차량용 인포테인먼트
미래SCI,028040,상품 중개업,규사
미스터블루,207760,기타 정보 서비스업,"온라인 만화 콘텐츠 서비스 및 제공, 만화 출판"
바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,기업인수합병
바이넥스,053030,의약품 제조업,"정장제, 소화제"
삼보판지,023600,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
삼본전자,111870,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드"
삼아제약,009300,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘"
상지카일룸,042940,건물 건설업,"건설업, 고급빌라 건축 및 일반 건축, 주택공급 등"
서암기계공업,100660,일반 목적용 기계 제조업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대"
성창오토텍,080470,자동차 신품 부품 제조업,"차량용에어컨필터,차량용공기청정기등"
세보엠이씨,011560,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 ."
세종메디칼,258830,의료용 기기 제조업,복강경수술용 투관침 등
세코닉스,053450,사진장비 및 광학기기 제조업,"CCD렌즈, 광PICK-UP렌즈"
셀루메드,049180,기초 의약물질 및 생물학적 제제 제조업,"의료기기, 바이오시밀러 및 헬스케어사업"
셀바스헬스케어,208370,의료용 기기 제조업,"체성분측정기, 혈압계, 점자정보단말기"
스페코,013810,특수 목적용 기계 제조업,아스팔트믹싱플랜트
승일,049830,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브"
심텍,222800,전자부품 제조업,반도체용 인쇄회로기판
싸이토젠,217330,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
쌍용정보통신,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)"
씨에스베어링,297090,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링"
씨유메디칼,115480,의료용 기기 제조업,심장제세동기
씨케이에이치,900120,기타 금융업,건강보조식품
아나패스,123860,반도체 제조업,Timing Controller(TCON)
아바텍,149950,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터"
